ordinal	global_index	date	sender	text_one_line
232	6279	03.03.2023 04:47:19 UTC-05:00	Jrk Bgrt	🐰
233	6286	07.04.2023 21:53:03 UTC-05:00	Jrk Bgrt	👆🤷‍♂
234	6294	14.04.2023 12:41:07 UTC-05:00	Jrk Bgrt	It can be solved, albeit very difficult as you have to understand how to interpret all the hints. Currently we are not planning to release any new hints soon.
235	6313	29.04.2023 16:19:45 UTC-05:00	Jrk Bgrt	😂
236	6316	02.05.2023 14:12:43 UTC-05:00	Jrk Bgrt	Still remarkable that scene. Especially the expiration date of his passport 😁.
237	6318	02.05.2023 15:03:59 UTC-05:00	Jrk Bgrt	Hope..
238	6352	10.06.2023 01:39:07 UTC-05:00	Jrk Bgrt	Correct. \n - \n No. \n - \n Can't say anything about this.
239	6383	12.06.2023 07:31:49 UTC-05:00	Jrk Bgrt	Physically, I assume not 😅.
240	6497	03.08.2023 14:50:23 UTC-05:00	Jrk Bgrt	Ok ok ok ok. I can't hold this one any longer.
241	6498	03.08.2023 14:51:33 UTC-05:00	Jrk Bgrt	Are you really looking for just the btc...?
242	6503	03.08.2023 15:17:19 UTC-05:00	Jrk Bgrt	Another one only 8 minutes after the last one?
243	6511	03.08.2023 15:28:20 UTC-05:00	Jrk Bgrt	Might be. Wish I had said nothing though.
244	6514	03.08.2023 15:30:14 UTC-05:00	Jrk Bgrt	Exactly, should have refrained from typing earlier maybe.
245	6516	03.08.2023 15:33:50 UTC-05:00	Jrk Bgrt	I saw that you guys got really really far already.
246	6517	03.08.2023 15:34:24 UTC-05:00	Jrk Bgrt	Actually, the hardest part is done.
247	6662	04.08.2023 19:46:47 UTC-05:00	Jrk Bgrt	"""Globally supporting my generation"""
248	6969	06.08.2023 05:42:15 UTC-05:00	Jrk Bgrt	This may sound at little dramatic but if I suddenly can't answer you guys anymore, it was nice knowing you all ❤️.
249	6970	06.08.2023 05:43:46 UTC-05:00	Jrk Bgrt	Oh, and be careful of what you get yourselves into. 🤐
250	6972	06.08.2023 05:44:27 UTC-05:00	Jrk Bgrt	I'll not explain why.
251	6973	06.08.2023 05:44:39 UTC-05:00	Jrk Bgrt	The puzzle talks for me.
252	6975	06.08.2023 05:45:26 UTC-05:00	Jrk Bgrt	And don't worry, I'll just be here in the meanwhile 😘.
253	6991	06.08.2023 05:55:01 UTC-05:00	Jrk Bgrt	Not at all.
254	6996	06.08.2023 05:56:34 UTC-05:00	Jrk Bgrt	You know if you know.
255	7005	06.08.2023 06:22:27 UTC-05:00	Jrk Bgrt	It wasn't cryptic enough before?
256	7011	06.08.2023 07:05:33 UTC-05:00	Jrk Bgrt	I wish only for that the puzzle provided some exciting pieces of information. That others have learned something new and that for some it is simply entertaining. I hope that the person who connects the last pieces for the 'main price' will thus get its hands on the private key and hold or spend it wisely, but mostly enjoy it. And lastly, I hope to witness the day that the last scene of mr. Robot becomes a reality.
257	7012	06.08.2023 07:05:51 UTC-05:00	Jrk Bgrt	In the eye of the beholder, for sure 😊.
258	7014	06.08.2023 07:09:27 UTC-05:00	Jrk Bgrt	Technically my friends and family can get to all my data if they'd work together. In that scenario, don't expect a halving of the price.
259	7016	06.08.2023 07:11:19 UTC-05:00	Jrk Bgrt	Hahaha good one. I thought of a 24h Killswitch, but nah. Can't be bothered :D! Instead.
260	7018	06.08.2023 07:12:13 UTC-05:00	Jrk Bgrt	"Probably the last hint: \n  \n Once you hit a ""ying yang"", you'll be able to solve it the same day."
261	7020	06.08.2023 07:13:30 UTC-05:00	Jrk Bgrt	Chance is small though. Merely an fyi, bit dramatic as stated earlier.
262	7022	06.08.2023 07:14:54 UTC-05:00	Jrk Bgrt	Both?
263	7026	06.08.2023 07:19:07 UTC-05:00	Jrk Bgrt	No need. You have all the info.
264	7027	06.08.2023 07:19:16 UTC-05:00	Jrk Bgrt	Good to see you again btw.
265	7030	06.08.2023 07:20:13 UTC-05:00	Jrk Bgrt	No hints 🤡
266	7034	06.08.2023 07:21:07 UTC-05:00	Jrk Bgrt	My hat off to you, and you know why 🫡.
267	7035	06.08.2023 07:21:37 UTC-05:00	Jrk Bgrt	Only fair ones. And to everyone.
268	7040	06.08.2023 07:43:54 UTC-05:00	Jrk Bgrt	To answer your question 'fully', from here on, high likely no hints anymore. But if somehow you all can't solve it from here in the next few years (which I deem unlikely given the state of the solving process), then I might feel the need to give an additional hint, as I couldn't happily live with the idea that some would think that this was a scam. Note, that I hope not to have to give another hint as it would probably be a give away. Good luck to you all!
269	7045	06.08.2023 07:49:59 UTC-05:00	Jrk Bgrt	Something was solved rather... remarkable.
270	7047	06.08.2023 07:53:56 UTC-05:00	Jrk Bgrt	Partly.
271	7049	06.08.2023 07:56:02 UTC-05:00	Jrk Bgrt	I won't!
272	7050	06.08.2023 08:00:38 UTC-05:00	Jrk Bgrt	Ok, although I somehow feel the need to have my eyes at this chat all for sudden it's time for me to shut up again and see my little ones play in an obstacle parc here on France. Ciao!
273	7054	06.08.2023 12:23:44 UTC-05:00	Jrk Bgrt	I have no clue.
274	7056	06.08.2023 13:39:34 UTC-05:00	Jrk Bgrt	Correct. Well, technically, you'll need the internet to claim the prize in the end 🤔.
275	7318	11.08.2023 00:52:53 UTC-05:00	Jrk Bgrt	Hi all, getting quite some DM's which is fine, just know that I'm traveling the next coming days ✌️!
276	7319	11.08.2023 00:53:25 UTC-05:00	Jrk Bgrt	"And I usually answer with ""no hints""."
277	7754	18.08.2023 08:24:12 UTC-05:00	Jrk Bgrt	😳 how?
278	7755	18.08.2023 08:25:35 UTC-05:00	Jrk Bgrt	Hi all. I'm on holiday btw. I might not answer DMs.
279	9149	23.08.2023 14:43:21 UTC-05:00	Jrk Bgrt	Note that I get quite some puzzle DMs. I've become used to just say 'no hints'.. (sorry for that).
280	9719	29.08.2023 13:06:07 UTC-05:00	Jrk Bgrt	Correct
281	12194	28.09.2023 11:13:32 UTC-05:00	Jrk Bgrt	I'm ok! ♥️
282	12196	28.09.2023 11:14:24 UTC-05:00	Jrk Bgrt	Sorry for not answering. I've just been trying not to live in my phone, as that has become a habit the last 20 years of my life.
283	12198	28.09.2023 11:16:21 UTC-05:00	Jrk Bgrt	Still on holiday 😅. In the Caribbean currently. It's lovely here. I see some spam complaints, also sorry for that. Everyone ok besides that?
284	12201	28.09.2023 11:19:30 UTC-05:00	Jrk Bgrt	Thanks!!!
285	12986	17.11.2023 07:50:24 UTC-05:00	Jrk Bgrt	Hello there, are we all still having fun?
286	12987	17.11.2023 07:51:43 UTC-05:00	Jrk Bgrt	I received some DMs, I thought I'd say hi ✌️. I'm ok, apologies for not being here on a daily basis.
287	13038	24.11.2023 09:05:13 UTC-05:00	Jrk Bgrt	"There's a question multiple people have asked me. ""Given the available knowledge, is internet still required to solve it?"" \n  \n Nope"
288	13991	26.12.2023 12:13:51 UTC-05:00	Jrk Bgrt	Heeeeelllloooooooo
289	13992	26.12.2023 12:14:06 UTC-05:00	Jrk Bgrt	Happy Christmas all ❤️
290	13995	26.12.2023 12:15:02 UTC-05:00	Jrk Bgrt	Hahahaha that meme, love it
291	13996	26.12.2023 12:15:42 UTC-05:00	Jrk Bgrt	Any spammers I have to ban?
292	13998	26.12.2023 12:27:27 UTC-05:00	Jrk Bgrt	Have you tried the purple pill already?
293	14000	26.12.2023 12:28:12 UTC-05:00	Jrk Bgrt	Candy flipping into 2024 ;-)
294	15602	26.01.2024 12:13:57 UTC-05:00	Jrk Bgrt	~2000 new messages, great. You all doing ok?
295	15606	26.01.2024 12:21:46 UTC-05:00	Jrk Bgrt	Regular Bitcoin Private key
296	15607	26.01.2024 12:22:04 UTC-05:00	Jrk Bgrt	🤐
297	17027	11.03.2024 07:57:45 UTC-05:00	Jrk Bgrt 31.03.2019 19:55:41	0011111101010100010011100100100101001000010111110100010001001110001100100101111101000101010010000101010001011111010100110100100101011111010000110101111101010010010001010100001001001101010101010100111001011111010001010100100001010100010111110100010001001110010000010101111101010100010011000101010101000001010001100100010101000100010111110101001101001001010111110011001100110001010111110100011001001001010111110101010001000001010010000101011101011111010001000100111001000001001111110101001101000101010001110100000101010011010100110100010101001101010111110101001101001001010010000101111101000100010011100100010101010011010111110101001001000001010100110100010101000001010000110101111101000100010010010100010001011111010101110100111101001000011111000111010101101000011100000111001001111001011010000111011101101011011010000110011001110010011101010111010101101000011001100111011101101011011011000111000101110111011101110111001001110011011101010111001001100110011010000110100001100111011101110111001001110111011010110110100001110001011010000110000101110111011101100111011101100100011010100110100000110001001100000011000100110001001100010011000100110000001100000011000100110000001100010011000100110001001100010011000000110000001100010011000000110000001100000011000100110000001100010011000000110001001100000011000100110000001100010011000000110001001100000011000000110001001100000011000100110000001100010011000100110000001100000011000000110000001100010011000000110001001100010011000000110001001100000011000000110000001100010011000100110000001100000011000000110001001100000011000100110001001100000011000100110000001100000011000000110000001100010011000100110000001100010011000000110000001100000011000100110001001100000011000100110001001100000011000000110001001100000011000100110001001100010011000100110000001100000011000000110001001100000011000000110001001100010011000000110000001100000011000000110000001100010011000100110000001100000011000100110001001100000011000000110000001100010011000100110000001100000011000000110000001100010011000100110000001100010011000000110001001100000011000100110000001100010011000000110001001100000011000100110001001100000011000100110000001100010011000100110000001100010011000000110000001100000011000100110001001100000011000000110000001100010011000000110001001100000011000100110001001100000011000000110000001100010011000000110000001100010011000100110000001100010011000100110001001100010011000000110001001100000011000000110001001100010011000100110000001100000011000100110001001100000011000000110001001100000011000000110001001100010011000000110000001100010011000000110000001100010011000100110000001100010011000000110000001100000011000000110000001100010011000100110000001100000011000000110001001100010011000000110000001100000011000100110000001100000011000100110000001100000011000100110001001100000011000000110000001100000011000100110000001100000011000100110001001100000011000000110001001100010011000000110001001100010011000100110000001100000011000000110000001100000011000100110001001100000011000000110000001100010011000000110000001100010011000100110000001100000011000000110001001100000011000000110000001100010011000100110000001100000011000100110000001100010011000000110001001100010011000000110001001100000011000100110000001100010011000100110000001100000011000100110001001100000011000000110001001100000011000100110000001100000011000100110000001100010011000100110000001100010011000000110001001100000011000000110001001100000011000100110001001100000011000000110001001100010011000000110001001100000011000100110000001100000011000000110000001100010011000000110000001100010011000000110000001100000011000100110000001100000011000100110001001100000011000100110000001100000011000000110001001100010011000000110000001100010011000000110000001100010011000100110001001100000011000000110001001100010011000100110000001100010011000000110001001100000011000100110000001100010011000000110000001100010011000100110000001100010011000000110001001100000011000100110001001100010011000000110001001100010011000000110000001100000011000100110001001100000011000100110001001100000011000000110001001100010011000000110000
298	17028	11.03.2024 07:57:46 UTC-05:00	Jrk Bgrt 31.03.2019 19:55:41	001100000011000000110001001100000011000000110001001100010011000000110001001100010011000000110000001100010011000100110000001100000011000100110000001100000011000100110001001100010011000000110000001100010011000000110000001100010011000100110001001100010011000000110000001100000011000100110001001100000011000000110001001100000011000000110001001100010011000000110001001100010011000000110000001100010011000000110001001100010011000000110000001100010011000000110000001100000011000000110001001100000011000000110001001100000011000100110001001100000011000000110000001100010011000100110000001100000011000000110000001100000011000100110001001100000011000000110000001100010011000000110000001100010011000000110001001100000011000000110000001100000011000100110000001100000011000100110000001100010011000000110000001100000011000000110001001100010011000000110000001100000011000100110000001100010011000100110000001100000011000000110001001100010011000000110001001100010011000000110000001100010011000000110001001100000011000000110000001100010011000000110001001100010011000000110000001100010011000000110001001100000011000100110000001100000011000000110000001100000011000100110000001100000011000100110000001100000011000000110000001100010011000001101000011101100111010101101000011110010110100001110101
299	17781	26.03.2024 05:41:13 UTC-05:00	Jrk Bgrt	I'm not really here, just checking if you folks are still alive and kicking. ✌️
300	17784	26.03.2024 05:42:36 UTC-05:00	Jrk Bgrt	For all those DM'ing me, the answer to your question is probably NO or YES. I decided not to answer any puzzle questions anymore. If there will be a hint (ever). It will be here.
301	17785	26.03.2024 05:43:04 UTC-05:00	Jrk Bgrt	IT'S OK, I FORGOT THAT IT'S CAPS TUESDAY.
302	17788	26.03.2024 05:46:40 UTC-05:00	Jrk Bgrt	Yeah, being lost is a common aspect of being on this planet I guess, or at least when tempering with rabbit holes.
303	17789	26.03.2024 05:47:53 UTC-05:00	Jrk Bgrt	Btw, for those with the heartwarming words. Many thanks ❤️.
304	17793	26.03.2024 05:49:08 UTC-05:00	Jrk Bgrt	Please understand that I get multiple of these questions on a daily basis..
305	17794	26.03.2024 05:50:02 UTC-05:00	Jrk Bgrt	There are investment institutions for this. Requesting money for a solid idea is not that difficult.
306	17797	26.03.2024 05:52:11 UTC-05:00	Jrk Bgrt	Yes. Some if you might soon be drinking it probably.
307	17798	26.03.2024 05:53:04 UTC-05:00	Jrk Bgrt	Seems puzzlers are decent people ;-).
308	17800	26.03.2024 05:55:39 UTC-05:00	Jrk Bgrt	Ask Claude-3 for the best approach maybe?
309	17802	26.03.2024 05:56:29 UTC-05:00	Jrk Bgrt	Understandable
310	17804	26.03.2024 05:57:09 UTC-05:00	Jrk Bgrt	Does it come close to Claude and gpt?
311	17815	26.03.2024 09:40:01 UTC-05:00	Jrk Bgrt	Technically yes but Nope.
312	17816	26.03.2024 09:40:38 UTC-05:00	Jrk Bgrt	And hi, you're hallucinating. Is it the mescaline?
313	17818	26.03.2024 09:41:41 UTC-05:00	Jrk Bgrt	😉
314	17821	26.03.2024 12:05:05 UTC-05:00	Jrk Bgrt	I prefer superpositions 😉.
315	17824	26.03.2024 12:23:03 UTC-05:00	Jrk Bgrt	You're doing fine.
316	17852	27.03.2024 11:41:56 UTC-05:00	Jrk Bgrt	Sqaures and a rabbit?
317	18450	10.04.2024 13:21:30 UTC-05:00	Jrk Bgrt	1357 blocks to go
318	18812	17.04.2024 06:02:00 UTC-05:00	Jrk Bgrt	I received some complaints about insulting behavior. \n  \n May it be obvious that it's not acceptable. \n  \n Please refrain from doing so, or I have to get the banhammer out of the drawer of either slap someone with a large trout. \n  \n Please be nice ❤️.
319	18813	17.04.2024 06:03:03 UTC-05:00	Jrk Bgrt	Happy countdown everyone ✌️!
320	18928	19.04.2024 19:08:44 UTC-05:00	Jrk Bgrt	Ha, we lost one 'puzzler'.
321	18929	19.04.2024 19:10:14 UTC-05:00	Jrk Bgrt	Seemed like a nice moment to get the ban hammer out of the drawer.
322	18931	19.04.2024 19:10:43 UTC-05:00	Jrk Bgrt	Happy halving everyone!
323	18932	19.04.2024 19:15:48 UTC-05:00	Jrk Bgrt	For those that still haven't solved the puzzle. There are few prizes to win besides the banter in this chat. A private key, some 'obscure' intel, or what I hope most of you have discovered by now, the most obvious reason to make sure you hold on to Bitcoin 😉.
324	18933	19.04.2024 19:15:54 UTC-05:00	Jrk Bgrt	✌️
325	18940	19.04.2024 19:29:57 UTC-05:00	Jrk Bgrt	16$ fee. Damn. \n  \n Well, anyway, see you in 4 years! Good luck you all.
326	18941	19.04.2024 19:31:10 UTC-05:00	Jrk Bgrt	Me? No. Don't know that guy.
327	18949	19.04.2024 20:34:10 UTC-05:00	Jrk Bgrt	I should.
328	18951	19.04.2024 20:35:15 UTC-05:00	Jrk Bgrt	Challenge accepted.
329	19798	06.06.2024 03:16:00 UTC-05:00	Jrk Bgrt	Crazy No hint Thursday, every Friday!
330	19805	07.06.2024 05:10:08 UTC-05:00	Jrk Bgrt	An active one.
331	20020	11.07.2024 14:29:17 UTC-05:00	Jrk Bgrt	None planned.
332	20340	30.08.2024 04:21:04 UTC-05:00	Jrk Bgrt	It indeed set to private. I haven't opened tg for a while so I guess it wasn't from my side 🫤.
333	20628	19.09.2024 02:20:23 UTC-05:00	Jrk Bgrt	I simply liked Jacque's ideas a lot. I have techy friends building communities around that idea today; I haven't invested much time into it as I should myself. But in the coming years I move to a place where that becomes a possibility.
334	21212	21.10.2024 14:03:09 UTC-05:00	Jrk Bgrt	I know a Matthew, and if he knows a Roberto, it's likely the same one and a very smart guy. 😉
335	21214	21.10.2024 14:03:34 UTC-05:00	Jrk Bgrt	Hi all! Everyone still happy?
336	21235	21.10.2024 14:06:58 UTC-05:00	Jrk Bgrt	Nice! Chilling under artificial stars, clearing up disks.
337	21333	22.10.2024 03:07:24 UTC-05:00	Jrk Bgrt 31.03.2019 19:55:41	0011111101010100010011100100100101001000010111110100010001001110001100100101111101000101010010000101010001011111010100110100100101011111010000110101111101010010010001010100001001001101010101010100111001011111010001010100100001010100010111110100010001001110010000010101111101010100010011000101010101000001010001100100010101000100010111110101001101001001010111110011001100110001010111110100011001001001010111110101010001000001010010000101011101011111010001000100111001000001001111110101001101000101010001110100000101010011010100110100010101001101010111110101001101001001010010000101111101000100010011100100010101010011010111110101001001000001010100110100010101000001010000110101111101000100010010010100010001011111010101110100111101001000011111000111010101101000011100000111001001111001011010000111011101101011011010000110011001110010011101010111010101101000011001100111011101101011011011000111000101110111011101110111001001110011011101010111001001100110011010000110100001100111011101110111001001110111011010110110100001110001011010000110000101110111011101100111011101100100011010100110100000110001001100000011000100110001001100010011000100110000001100000011000100110000001100010011000100110001001100010011000000110000001100010011000000110000001100000011000100110000001100010011000000110001001100000011000100110000001100010011000000110001001100000011000000110001001100000011000100110000001100010011000100110000001100000011000000110000001100010011000000110001001100010011000000110001001100000011000000110000001100010011000100110000001100000011000000110001001100000011000100110001001100000011000100110000001100000011000000110000001100010011000100110000001100010011000000110000001100000011000100110001001100000011000100110001001100000011000000110001001100000011000100110001001100010011000100110000001100000011000000110001001100000011000000110001001100010011000000110000001100000011000000110000001100010011000100110000001100000011000100110001001100000011000000110000001100010011000100110000001100000011000000110000001100010011000100110000001100010011000000110001001100000011000100110000001100010011000000110001001100000011000100110001001100000011000100110000001100010011000100110000001100010011000000110000001100000011000100110001001100000011000000110000001100010011000000110001001100000011000100110001001100000011000000110000001100010011000000110000001100010011000100110000001100010011000100110001001100010011000000110001001100000011000000110001001100010011000100110000001100000011000100110001001100000011000000110001001100000011000000110001001100010011000000110000001100010011000000110000001100010011000100110000001100010011000000110000001100000011000000110000001100010011000100110000001100000011000000110001001100010011000000110000001100000011000100110000001100000011000100110000001100000011000100110001001100000011000000110000001100000011000100110000001100000011000100110001001100000011000000110001001100010011000000110001001100010011000100110000001100000011000000110000001100000011000100110001001100000011000000110000001100010011000000110000001100010011000100110000001100000011000000110001001100000011000000110000001100010011000100110000001100000011000100110000001100010011000000110001001100010011000000110001001100000011000100110000001100010011000100110000001100000011000100110001001100000011000000110001001100000011000100110000001100000011000100110000001100010011000100110000001100010011000000110001001100000011000000110001001100000011000100110001001100000011000000110001001100010011000000110001001100000011000100110000001100000011000000110000001100010011000000110000001100010011000000110000001100000011000100110000001100000011000100110001001100000011000100110000001100000011000000110001001100010011000000110000001100010011000000110000001100010011000100110001001100000011000000110001001100010011000100110000001100010011000000110001001100000011000100110000001100010011000000110000001100010011000100110000001100010011000000110001001100000011000100110001001100010011000000110001001100010011000000110000001100000011000100110001001100000011000100110001001100000011000000110001001100010011000000110000
338	21334	22.10.2024 03:07:24 UTC-05:00	Jrk Bgrt 31.03.2019 20:14:38	first one to find a private key may keep the bitcoins.
339	21335	22.10.2024 03:07:24 UTC-05:00	Jrk Bgrt 31.03.2019 20:31:17	That might be just the beginning of the puzzle.
340	21336	22.10.2024 03:07:24 UTC-05:00	Jrk Bgrt 31.03.2019 20:31:26	Why wouldn't we?
341	21337	22.10.2024 03:07:25 UTC-05:00	Jrk Bgrt 31.03.2019 20:32:09	The first to find a private key in  the code may keep the bitcoins.
342	23595	22.11.2024 10:34:11 UTC-05:00	Jrk Bgrt 11.12.2022 10:33:20	If the puzzle is solved you'll see how scary specific that is 😂
343	25241	29.11.2024 04:56:10 UTC-05:00	Jrk Bgrt	In that case I'll show, as I don't have much talent.
344	25242	29.11.2024 04:56:39 UTC-05:00	Jrk Bgrt	Hello everyone, still having fun :-)?
345	25244	29.11.2024 04:57:24 UTC-05:00	Jrk Bgrt	I was told this group could use some moderation.
346	25247	29.11.2024 04:59:41 UTC-05:00	Jrk Bgrt	If wallet != empty, puzzle not solved. \n  \n (Most likely).
347	25249	29.11.2024 05:00:19 UTC-05:00	Jrk Bgrt	That was indeed the plan.
348	25266	29.11.2024 05:13:16 UTC-05:00	Jrk Bgrt	If at all, a very bad one. Not even worth the title of skid. Although, as you might have guessed, I've seen some 'security' places 'protecting' our digital realms.
349	25268	29.11.2024 05:15:17 UTC-05:00	Jrk Bgrt	"Haven't interacted with a terminal in a while. ""But what can you do without a cpu?"", touch grass it is."
350	25271	29.11.2024 05:17:21 UTC-05:00	Jrk Bgrt	Hint? Hint? Heh, what craziness are you talking about? There is no hint.
351	25278	29.11.2024 05:20:59 UTC-05:00	Jrk Bgrt	🤐
352	25284	29.11.2024 05:28:47 UTC-05:00	Jrk Bgrt	At this point, I don't know what to hint, without ruining it for those that might find it. If you guys got 1 microstep further, the puzzle will likely be solved the same day. \n  \n I could come up with some empty cryptic bs hint, but that would be lame too. \n  \n And in the end, good puzzles don't need hints, hence this puzzle appears to be a tiny bit shitty sometimes.
353	25285	29.11.2024 05:29:20 UTC-05:00	Jrk Bgrt	No clue Friday. \n Every Saturday.
354	25294	29.11.2024 05:39:33 UTC-05:00	Jrk Bgrt	Oh, and before I forget, apologies for not answering any DMs, don't take it personal. \n  \n I mainly got tired of answering with either 'no hints', or listening to sad stories about family, or kids with severe health problems, hoping to obtain a hint, all day every day.
355	25300	29.11.2024 05:42:55 UTC-05:00	Jrk Bgrt	I saw that @qv8du3ne8s9 [https://t.me/qv8du3ne8s9] 😂
356	25312	29.11.2024 05:47:19 UTC-05:00	Jrk Bgrt	I think I'll be going for ASCII 127 myself. But not overly dramatic.
357	25337	29.11.2024 05:57:33 UTC-05:00	Jrk Bgrt	I think I'm fine - gladly I don't feel that weird anxiety anymore. However, I do expect that in about 18 years my government might have to notify me that I've been 'under investigation' for a while. But don't worry about me; me, family and friends are doing great!
358	25340	29.11.2024 05:58:58 UTC-05:00	Jrk Bgrt	This is so true. I must say, with that in mind, it makes typing any message here a bit more challenging.
359	25342	29.11.2024 06:00:25 UTC-05:00	Jrk Bgrt	Admins
360	25354	29.11.2024 06:02:00 UTC-05:00	Jrk Bgrt	Happiness.
361	25366	29.11.2024 06:06:24 UTC-05:00	Jrk Bgrt	You only need the last number of pi and it might get you somewhere.
362	25381	29.11.2024 06:13:47 UTC-05:00	Jrk Bgrt	I already have gray hair unfortunately.
363	25383	29.11.2024 06:15:34 UTC-05:00	Jrk Bgrt	Maybe Bryan Johnson has an answer for my hair.
364	25387	29.11.2024 06:20:19 UTC-05:00	Jrk Bgrt	Pimeyes leads me to a festival thingy in the Netherlands. Is this a puzzle?
365	25391	29.11.2024 06:23:12 UTC-05:00	Jrk Bgrt	Not sure why but I suppose it doesn't affect the puzzle.
366	25393	29.11.2024 06:25:31 UTC-05:00	Jrk Bgrt	Could be, it has been years and we had a few FE guys working on it.
367	25397	29.11.2024 06:28:41 UTC-05:00	Jrk Bgrt	Yeah, what can I say? In a way, it's a pretty smart by mr Sailor, and Bitcoin is built to withstand this shenanigans anyway.
368	25399	29.11.2024 06:29:55 UTC-05:00	Jrk Bgrt	Yeah NAD is great.
369	25403	29.11.2024 06:30:33 UTC-05:00	Jrk Bgrt	I only take ~80 supplements daily, nothing crazy 😅.
370	25407	29.11.2024 06:32:02 UTC-05:00	Jrk Bgrt	Blueprint is sort of the leading list at this point.
371	25411	29.11.2024 06:34:04 UTC-05:00	Jrk Bgrt	I mean, if you guys don't solve it anytime soon I'll have to try and stay alive till the year 2145.
372	25416	29.11.2024 06:37:27 UTC-05:00	Jrk Bgrt	I explain them a lot but I don't want them to know about BTC yet, having this unhealthy fear for btc kidnapping.
373	25420	29.11.2024 06:39:50 UTC-05:00	Jrk Bgrt	Enjoying life, mostly 😉.
374	25433	29.11.2024 06:47:44 UTC-05:00	Jrk Bgrt	Yeah, heard this argument before. Haven't used it myself for years. Bryan is a bit.. extreme, and his team of doctors probably concluded that it's good for him. Also, there aren't many studies that have concluded that long term low dose usage would do any damage. \n  \n In the end there's no perfect static setup, as we're all a bit different.
375	25440	29.11.2024 06:51:05 UTC-05:00	Jrk Bgrt	Another doctor in my room states that these are indeed the typical puzzle doctors 😉.
376	25447	29.11.2024 06:54:17 UTC-05:00	Jrk Bgrt	Already better than many doctors... especially for discovering very unlikely cases.
377	25459	29.11.2024 07:03:37 UTC-05:00	Jrk Bgrt	I'd quit that if you want quality sleep. I used it so much, my body can't deal with it anymore. After a week or 2 you'll start dreaming again.
378	25462	29.11.2024 07:05:46 UTC-05:00	Jrk Bgrt	Ah sorry, I missed that. I used a gram daily, for years. 😅
379	25464	29.11.2024 07:06:39 UTC-05:00	Jrk Bgrt	🫡
380	25465	29.11.2024 07:13:43 UTC-05:00	Jrk Bgrt	Ok, I'm off people 👻. Be good, stay healthy, stack sats and enjoy life.  \n  \n Ciao! \n  \n And good luck Admins! (And many thanks in advance, please be fair 😉).
381	26243	04.12.2024 17:59:53 UTC-05:00	Jrk Bgrt 25.02.2020 13:09:39	But I should shut up ofcourse 😁
382	26244	04.12.2024 17:59:54 UTC-05:00	Jrk Bgrt 25.02.2020 13:15:01	Don't know but most see 3.2 as the last part.
383	26293	07.12.2024 17:24:55 UTC-05:00	Jrk Bgrt 29.11.2024 06:25:31	Could be, it has been years and we had a few FE guys working on it.
384	26420	08.12.2024 17:11:11 UTC-05:00	Jrk Bgrt 26.12.2021 15:18:32	"The previous ""there is another door hint"" is still a thing. We're not sure if anyone has found another door so far, and we can't check that... We've seen prime numbers being mentioned; well, that is definitely an aspect which is required to proceed. Furthermore, along the way, some characters need to be 'zeroed out'.. Best of luck and happy holidays! 🥂"
385	26497	11.12.2024 19:12:06 UTC-05:00	Jrk Bgrt 08.04.2020 15:33:48	(not a hint btw, just fooling around)
386	27472	03.01.2025 19:44:06 UTC-05:00	Jrk Bgrt 29.11.2024 06:06:24	You only need the last number of pi and it might get you somewhere.
387	30667	27.04.2025 10:02:30 UTC-05:00	Jrk Bgrt 19.04.2019 18:34:12	Equivalent of 25 btc
388	30668	27.04.2025 10:02:30 UTC-05:00	Jrk Bgrt 19.04.2019 18:35:03	Hi there, welcome
389	30669	27.04.2025 10:02:30 UTC-05:00	Jrk Bgrt 19.04.2019 18:35:28	Si
390	30670	27.04.2025 10:02:30 UTC-05:00	Jrk Bgrt 19.04.2019 18:36:13	Correct
391	30671	27.04.2025 10:02:30 UTC-05:00	Jrk Bgrt 19.04.2019 19:13:56	Depends how you look at it.
392	30777	28.04.2025 11:45:47 UTC-05:00	Jrk Bgrt	You people are still having fun I see.
393	30783	28.04.2025 11:48:07 UTC-05:00	Jrk Bgrt	Ah, no hints? Ok, that's also fine.
394	30789	28.04.2025 11:51:05 UTC-05:00	Jrk Bgrt	I have to say, that touching grass thingy is pretty nice.
395	30791	28.04.2025 11:52:50 UTC-05:00	Jrk Bgrt	Yeah, tricky question. You can try to time it (I stopped doing that), but if you understand the puzzle you'll discover that I'd suggest btc only, and don't gamble.
396	30800	28.04.2025 11:55:14 UTC-05:00	Jrk Bgrt	"I was hinted when eth was 2$. Saw the ""DAO"" unfold live in front of my eyes with 8000 holders on slack; was allowed to double my eth with all the left over etc, and then swap it to btc. Good old times."
397	30802	28.04.2025 11:56:14 UTC-05:00	Jrk Bgrt	If I'd ever take the funds (I won't), I wouldn't even tell the answer 😈.
398	30804	28.04.2025 11:57:17 UTC-05:00	Jrk Bgrt	Did anyone found yingyang? I don't think so, you guys are so smart, when yingyang is reached, 2 hours max.
399	30809	28.04.2025 11:58:50 UTC-05:00	Jrk Bgrt	Im with alcohol, dont blame me for more typos.
400	30812	28.04.2025 11:59:29 UTC-05:00	Jrk Bgrt	Alcohol, and answering this chat go hand in hand somehow.
401	30814	28.04.2025 12:00:26 UTC-05:00	Jrk Bgrt	Que?
402	30817	28.04.2025 12:01:36 UTC-05:00	Jrk Bgrt	It’s the next phase, but I await the day someone finally gets there.
