ordinal	global_index	date	text_one_line
279	9149	23.08.2023 14:43:21 UTC-05:00	Note that I get quite some puzzle DMs. I've become used to just say 'no hints'.. (sorry for that).
280	9719	29.08.2023 13:06:07 UTC-05:00	Correct
281	12194	28.09.2023 11:13:32 UTC-05:00	I'm ok! ♥️
282	12196	28.09.2023 11:14:24 UTC-05:00	Sorry for not answering. I've just been trying not to live in my phone, as that has become a habit the last 20 years of my life.
283	12198	28.09.2023 11:16:21 UTC-05:00	Still on holiday 😅. In the Caribbean currently. It's lovely here. I see some spam complaints, also sorry for that. Everyone ok besides that?
284	12201	28.09.2023 11:19:30 UTC-05:00	Thanks!!!
285	12986	17.11.2023 07:50:24 UTC-05:00	Hello there, are we all still having fun?
286	12987	17.11.2023 07:51:43 UTC-05:00	I received some DMs, I thought I'd say hi ✌️. I'm ok, apologies for not being here on a daily basis.
287	13038	24.11.2023 09:05:13 UTC-05:00	"There's a question multiple people have asked me. ""Given the available knowledge, is internet still required to solve it?"" /  / Nope"
288	13991	26.12.2023 12:13:51 UTC-05:00	Heeeeelllloooooooo
289	13992	26.12.2023 12:14:06 UTC-05:00	Happy Christmas all ❤️
290	13995	26.12.2023 12:15:02 UTC-05:00	Hahahaha that meme, love it
291	13996	26.12.2023 12:15:42 UTC-05:00	Any spammers I have to ban?
292	13998	26.12.2023 12:27:27 UTC-05:00	Have you tried the purple pill already?
293	14000	26.12.2023 12:28:12 UTC-05:00	Candy flipping into 2024 ;-)
294	15602	26.01.2024 12:13:57 UTC-05:00	~2000 new messages, great. You all doing ok?
295	15606	26.01.2024 12:21:46 UTC-05:00	Regular Bitcoin Private key
296	15607	26.01.2024 12:22:04 UTC-05:00	🤐
297	17781	26.03.2024 05:41:13 UTC-05:00	I'm not really here, just checking if you folks are still alive and kicking. ✌️
298	17784	26.03.2024 05:42:36 UTC-05:00	For all those DM'ing me, the answer to your question is probably NO or YES. I decided not to answer any puzzle questions anymore. If there will be a hint (ever). It will be here.
299	17785	26.03.2024 05:43:04 UTC-05:00	IT'S OK, I FORGOT THAT IT'S CAPS TUESDAY.
300	17788	26.03.2024 05:46:40 UTC-05:00	Yeah, being lost is a common aspect of being on this planet I guess, or at least when tempering with rabbit holes.
301	17789	26.03.2024 05:47:53 UTC-05:00	Btw, for those with the heartwarming words. Many thanks ❤️.
302	17793	26.03.2024 05:49:08 UTC-05:00	Please understand that I get multiple of these questions on a daily basis..
303	17794	26.03.2024 05:50:02 UTC-05:00	There are investment institutions for this. Requesting money for a solid idea is not that difficult.
304	17797	26.03.2024 05:52:11 UTC-05:00	Yes. Some if you might soon be drinking it probably.
305	17798	26.03.2024 05:53:04 UTC-05:00	Seems puzzlers are decent people ;-).
306	17800	26.03.2024 05:55:39 UTC-05:00	Ask Claude-3 for the best approach maybe?
307	17802	26.03.2024 05:56:29 UTC-05:00	Understandable
308	17804	26.03.2024 05:57:09 UTC-05:00	Does it come close to Claude and gpt?
309	17815	26.03.2024 09:40:01 UTC-05:00	Technically yes but Nope.
310	17816	26.03.2024 09:40:38 UTC-05:00	And hi, you're hallucinating. Is it the mescaline?
311	17818	26.03.2024 09:41:41 UTC-05:00	😉
312	17821	26.03.2024 12:05:05 UTC-05:00	I prefer superpositions 😉.
313	17824	26.03.2024 12:23:03 UTC-05:00	You're doing fine.
314	17852	27.03.2024 11:41:56 UTC-05:00	Sqaures and a rabbit?
315	18450	10.04.2024 13:21:30 UTC-05:00	1357 blocks to go
316	18812	17.04.2024 06:02:00 UTC-05:00	I received some complaints about insulting behavior. /  / May it be obvious that it's not acceptable. /  / Please refrain from doing so, or I have to get the banhammer out of the drawer of either slap someone with a large trout. /  / Please be nice ❤️.
317	18813	17.04.2024 06:03:03 UTC-05:00	Happy countdown everyone ✌️!
318	18928	19.04.2024 19:08:44 UTC-05:00	Ha, we lost one 'puzzler'.
319	18929	19.04.2024 19:10:14 UTC-05:00	Seemed like a nice moment to get the ban hammer out of the drawer.
320	18931	19.04.2024 19:10:43 UTC-05:00	Happy halving everyone!
321	18932	19.04.2024 19:15:48 UTC-05:00	For those that still haven't solved the puzzle. There are few prizes to win besides the banter in this chat. A private key, some 'obscure' intel, or what I hope most of you have discovered by now, the most obvious reason to make sure you hold on to Bitcoin 😉.
322	18933	19.04.2024 19:15:54 UTC-05:00	✌️
323	18940	19.04.2024 19:29:57 UTC-05:00	16$ fee. Damn. /  / Well, anyway, see you in 4 years! Good luck you all.
324	18941	19.04.2024 19:31:10 UTC-05:00	Me? No. Don't know that guy.
325	18949	19.04.2024 20:34:10 UTC-05:00	I should.
326	18951	19.04.2024 20:35:15 UTC-05:00	Challenge accepted.
327	19798	06.06.2024 03:16:00 UTC-05:00	Crazy No hint Thursday, every Friday!
328	19805	07.06.2024 05:10:08 UTC-05:00	An active one.
329	20020	11.07.2024 14:29:17 UTC-05:00	None planned.
330	20340	30.08.2024 04:21:04 UTC-05:00	It indeed set to private. I haven't opened tg for a while so I guess it wasn't from my side 🫤.
331	20628	19.09.2024 02:20:23 UTC-05:00	I simply liked Jacque's ideas a lot. I have techy friends building communities around that idea today; I haven't invested much time into it as I should myself. But in the coming years I move to a place where that becomes a possibility.
332	21212	21.10.2024 14:03:09 UTC-05:00	I know a Matthew, and if he knows a Roberto, it's likely the same one and a very smart guy. 😉
333	21214	21.10.2024 14:03:34 UTC-05:00	Hi all! Everyone still happy?
334	21235	21.10.2024 14:06:58 UTC-05:00	Nice! Chilling under artificial stars, clearing up disks.
335	25241	29.11.2024 04:56:10 UTC-05:00	In that case I'll show, as I don't have much talent.
336	25242	29.11.2024 04:56:39 UTC-05:00	Hello everyone, still having fun :-)?
337	25244	29.11.2024 04:57:24 UTC-05:00	I was told this group could use some moderation.
338	25247	29.11.2024 04:59:41 UTC-05:00	If wallet != empty, puzzle not solved. /  / (Most likely).
339	25249	29.11.2024 05:00:19 UTC-05:00	That was indeed the plan.
340	25266	29.11.2024 05:13:16 UTC-05:00	If at all, a very bad one. Not even worth the title of skid. Although, as you might have guessed, I've seen some 'security' places 'protecting' our digital realms.
341	25268	29.11.2024 05:15:17 UTC-05:00	"Haven't interacted with a terminal in a while. ""But what can you do without a cpu?"", touch grass it is."
342	25271	29.11.2024 05:17:21 UTC-05:00	Hint? Hint? Heh, what craziness are you talking about? There is no hint.
343	25278	29.11.2024 05:20:59 UTC-05:00	🤐
344	25284	29.11.2024 05:28:47 UTC-05:00	At this point, I don't know what to hint, without ruining it for those that might find it. If you guys got 1 microstep further, the puzzle will likely be solved the same day. /  / I could come up with some empty cryptic bs hint, but that would be lame too. /  / And in the end, good puzzles don't need hints, hence this puzzle appears to be a tiny bit shitty sometimes.
345	25285	29.11.2024 05:29:20 UTC-05:00	No clue Friday. / Every Saturday.
346	25294	29.11.2024 05:39:33 UTC-05:00	Oh, and before I forget, apologies for not answering any DMs, don't take it personal. /  / I mainly got tired of answering with either 'no hints', or listening to sad stories about family, or kids with severe health problems, hoping to obtain a hint, all day every day.
347	25300	29.11.2024 05:42:55 UTC-05:00	I saw that @qv8du3ne8s9 [https://t.me/qv8du3ne8s9] 😂
348	25312	29.11.2024 05:47:19 UTC-05:00	I think I'll be going for ASCII 127 myself. But not overly dramatic.
349	25337	29.11.2024 05:57:33 UTC-05:00	I think I'm fine - gladly I don't feel that weird anxiety anymore. However, I do expect that in about 18 years my government might have to notify me that I've been 'under investigation' for a while. But don't worry about me; me, family and friends are doing great!
350	25340	29.11.2024 05:58:58 UTC-05:00	This is so true. I must say, with that in mind, it makes typing any message here a bit more challenging.
351	25342	29.11.2024 06:00:25 UTC-05:00	Admins
352	25354	29.11.2024 06:02:00 UTC-05:00	Happiness.
353	25366	29.11.2024 06:06:24 UTC-05:00	You only need the last number of pi and it might get you somewhere.
354	25381	29.11.2024 06:13:47 UTC-05:00	I already have gray hair unfortunately.
355	25383	29.11.2024 06:15:34 UTC-05:00	Maybe Bryan Johnson has an answer for my hair.
356	25387	29.11.2024 06:20:19 UTC-05:00	Pimeyes leads me to a festival thingy in the Netherlands. Is this a puzzle?
357	25391	29.11.2024 06:23:12 UTC-05:00	Not sure why but I suppose it doesn't affect the puzzle.
358	25393	29.11.2024 06:25:31 UTC-05:00	Could be, it has been years and we had a few FE guys working on it.
359	25397	29.11.2024 06:28:41 UTC-05:00	Yeah, what can I say? In a way, it's a pretty smart by mr Sailor, and Bitcoin is built to withstand this shenanigans anyway.
360	25399	29.11.2024 06:29:55 UTC-05:00	Yeah NAD is great.
361	25403	29.11.2024 06:30:33 UTC-05:00	I only take ~80 supplements daily, nothing crazy 😅.
362	25407	29.11.2024 06:32:02 UTC-05:00	Blueprint is sort of the leading list at this point.
363	25411	29.11.2024 06:34:04 UTC-05:00	I mean, if you guys don't solve it anytime soon I'll have to try and stay alive till the year 2145.
364	25416	29.11.2024 06:37:27 UTC-05:00	I explain them a lot but I don't want them to know about BTC yet, having this unhealthy fear for btc kidnapping.
365	25420	29.11.2024 06:39:50 UTC-05:00	Enjoying life, mostly 😉.
366	25433	29.11.2024 06:47:44 UTC-05:00	Yeah, heard this argument before. Haven't used it myself for years. Bryan is a bit.. extreme, and his team of doctors probably concluded that it's good for him. Also, there aren't many studies that have concluded that long term low dose usage would do any damage. /  / In the end there's no perfect static setup, as we're all a bit different.
367	25440	29.11.2024 06:51:05 UTC-05:00	Another doctor in my room states that these are indeed the typical puzzle doctors 😉.
368	25447	29.11.2024 06:54:17 UTC-05:00	Already better than many doctors... especially for discovering very unlikely cases.
369	25459	29.11.2024 07:03:37 UTC-05:00	I'd quit that if you want quality sleep. I used it so much, my body can't deal with it anymore. After a week or 2 you'll start dreaming again.
370	25462	29.11.2024 07:05:46 UTC-05:00	Ah sorry, I missed that. I used a gram daily, for years. 😅
371	25464	29.11.2024 07:06:39 UTC-05:00	🫡
372	25465	29.11.2024 07:13:43 UTC-05:00	Ok, I'm off people 👻. Be good, stay healthy, stack sats and enjoy life.  /  / Ciao! /  / And good luck Admins! (And many thanks in advance, please be fair 😉).
373	30777	28.04.2025 11:45:47 UTC-05:00	You people are still having fun I see.
374	30783	28.04.2025 11:48:07 UTC-05:00	Ah, no hints? Ok, that's also fine.
375	30789	28.04.2025 11:51:05 UTC-05:00	I have to say, that touching grass thingy is pretty nice.
376	30791	28.04.2025 11:52:50 UTC-05:00	Yeah, tricky question. You can try to time it (I stopped doing that), but if you understand the puzzle you'll discover that I'd suggest btc only, and don't gamble.
377	30800	28.04.2025 11:55:14 UTC-05:00	"I was hinted when eth was 2$. Saw the ""DAO"" unfold live in front of my eyes with 8000 holders on slack; was allowed to double my eth with all the left over etc, and then swap it to btc. Good old times."
378	30802	28.04.2025 11:56:14 UTC-05:00	If I'd ever take the funds (I won't), I wouldn't even tell the answer 😈.
379	30804	28.04.2025 11:57:17 UTC-05:00	Did anyone found yingyang? I don't think so, you guys are so smart, when yingyang is reached, 2 hours max.
380	30809	28.04.2025 11:58:50 UTC-05:00	Im with alcohol, dont blame me for more typos.
381	30812	28.04.2025 11:59:29 UTC-05:00	Alcohol, and answering this chat go hand in hand somehow.
382	30814	28.04.2025 12:00:26 UTC-05:00	Que?
383	30817	28.04.2025 12:01:36 UTC-05:00	It’s the next phase, but I await the day someone finally gets there.
384	30821	28.04.2025 12:02:46 UTC-05:00	"Ok, the ""better half"" is hungry. Which means I'm off 🤗"
385	38731	15.09.2025 21:24:36 UTC-05:00	Yes
386	38732	15.09.2025 21:24:52 UTC-05:00	Carrots were originally purple, until the Dutch turned them orange in the 1600s to kiss up to their royal family.
387	42080	31.12.2025 22:15:02 UTC-05:00	.
388	42081	31.12.2025 22:16:15 UTC-05:00	..
389	42082	31.12.2025 22:17:05 UTC-05:00	...
390	42083	31.12.2025 22:18:07 UTC-05:00	....
391	42084	31.12.2025 22:19:05 UTC-05:00	.....
392	42085	31.12.2025 22:20:03 UTC-05:00	01001000 01100001 01110000 01110000 01111001 00100000 01101110 01100101 01110111 00100000 01111001 01100101 01100001 01110010 00100001 00100000 01001101 01100001 01101011 01100101 00100000 01110100 01101000 01100101 00100000 01100010 01100101 01110011 01110100 00100000 01101111 01100110 00100000 01100101 01110110 01100101 01110010 01111001 01110100 01101000 01101001 01101110 01100111 00101110 00100000 01001111 01101000 00101100 00100000 01100001 01101110 01100100 00100000 01101000 01100101 01110010 01100101 00100111 01110011 00100000 01100001 00100000 00100010 01110100 01101001 01101110 01111001 00100000 01101000 01101001 01101110 01110100 00100010 00100000 00111100 00110011 00101110
393	47633	03.03.2026 20:11:55 UTC-05:00	👆🫡
394	47634	03.03.2026 20:12:28 UTC-05:00	Hi all 👋🏻
395	47637	03.03.2026 20:17:02 UTC-05:00	No hints , only free will. One of the few things I somehow strugle to fully accept albeit that science is currently not on the deterministic side if I'm not mistaken.
396	47640	03.03.2026 20:18:06 UTC-05:00	Everyone still having fun?
397	47646	03.03.2026 20:19:39 UTC-05:00	Jacque was quite an inspiring lad I'd say.
398	47650	03.03.2026 20:21:38 UTC-05:00	It's kinda of a pvp zone here. Sort of a rust server with both nice and toxic units.
399	47654	03.03.2026 20:22:42 UTC-05:00	Maybe, Cartman's quote about chatroulette fits too.
400	47655	03.03.2026 20:23:27 UTC-05:00	🤐
401	47657	03.03.2026 20:27:00 UTC-05:00	Looks at gnomad. 👀
402	47660	03.03.2026 20:29:05 UTC-05:00	Bingo
403	47662	03.03.2026 20:30:47 UTC-05:00	I only need to look at the address. If any of you reaches the next phase, the price is taken in no-time.
404	47664	03.03.2026 20:31:09 UTC-05:00	🤷‍♂️
405	47666	03.03.2026 20:32:01 UTC-05:00	I suppose that could get you far in real life.
406	47670	03.03.2026 20:33:52 UTC-05:00	Before I forget. For those who DM me, my apologies for not answering - or only rarely. Nothing personal ❤️.
407	47672	03.03.2026 20:35:22 UTC-05:00	I'm going to rewatch episode 3.5 with  the better half.
408	47674	03.03.2026 20:36:04 UTC-05:00	Nope. You're not the first to ask.
409	47675	03.03.2026 20:37:14 UTC-05:00	Cheers all, good luck again 👋🏻!
410	50334	28.05.2026 06:41:02 UTC-05:00	Ah, ofcourse. The puzzle is still valid!
411	50340	28.05.2026 08:34:18 UTC-05:00	🫡🥳
